Rating;RNo;ID;Title
9.221203348555122;2529948;tt0111161;A remény rabjai
9.146890003675875;1741770;tt0068646;A keresztapa
8.980961073877996;1208447;tt0071562;A keresztapa II
8.976496423639643;2480422;tt0468569;A sötét lovag
8.94224485083059;747481;tt0050083;Tizenkét dühös ember
8.912728162335155;1292657;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
9.221199407927065;2530144;tt0111161;A remény rabjai
9.146894707925384;1741910;tt0068646;A keresztapa
8.980967147667599;1208531;tt0071562;A keresztapa II
8.976496848923523;2480652;tt0468569;A sötét lovag
8.942242528393981;747531;tt0050083;Tizenkét dühös ember
8.912733420273499;1292732;tt0108052;Schindler listája
